Wet Red Mud Discharge   ;Water removed through evaporation   ;Water Consumption (Pre-Decilication, Digestion, Precipitation)  ;Pure Al(OH)3 (dry, precipitated)    ;Alumunium Recovery Rate (From Feed) ;Alumunium in Recycled Spent Liquor  ;Total CaO consumed  ;Total NaOH Consumed 
61.24876685;85.2002078;58.46069762;85.93269053;87.02%;9.799892383;4.68625935;46.29893583
73.53031164;99.35429143;60.65908161;85.94500678;86.93%;9.727828629;5.249092441;46.54584426
79.97893979;98.26065366;71.77025603;89.8495557;87.49%;12.51336542;7.573866767;49.56776159
80.93335267;91.73013751;75.32384535;78.18464146;83.88%;10.70359985;9.825497754;44.51659624
69.07924595;89.47979094;68.19784334;95.76292593;91.06%;8.773712654;6.003417992;51.91695584
71.71406728;88.11199287;69.26833247;85.27727923;88.09%;8.214823693;7.468477137;47.14345949
52.57412931;74.96948421;61.19243785;97.14658415;93.66%;9.369078897;4.087122;51.81219122
53.34750001;79.56881626;56.31618443;93.40984357;91.62%;8.682928977;3.283264248;49.54040507
81.59477198;99.09031356;69.50263869;79.95468702;85.28%;8.667621092;8.16190401;44.70326698
64.17272838;76.16479604;77.31655574;102.2343713;90.43%;9.527269545;7.532002048;55.90715972
81.90691595;94.13454738;79.75073666;93.23849176;83.67%;8.893073646;9.196247148;51.9853644
89.72823693;100.3835804;80.93992696;85.34683221;83.04%;8.329816488;10.4032444;48.43660194
39.00315148;63.91149852;54.78827209;98.73658534;95.67%;10.23773751;2.292685792;51.86744917
54.84583925;83.66516782;56.37030673;99.42418629;96.27%;12.53935264;2.605498015;52.36903983
65.26748238;74.72251174;78.23409621;96.97514169;88.07%;10.88546862;8.372396092;53.56789929
62.28585675;77.71968327;67.92300769;87.57108274;89.24%;8.355606961;6.871250153;48.06930654
44.73203638;72.84075739;52.10054498;95.19169149;96.42%;12.00746958;2.029608668;49.94059454
60.2207397;74.87733783;67.83571416;87.15936144;86.60%;7.525305332;6.902429926;47.86578219
67.0827775;81.17579813;73.54833635;95.13726129;88.98%;10.31362519;7.407502503;52.20529059
85.56330703;97.86651324;81.1596626;94.28371599;85.62%;11.27878578;9.423796228;52.63503309
46.86501413;65.91716684;65.78497435;105.8367323;93.35%;13.22823826;4.231646064;56.37031871
45.16168554;67.14003863;57.61446441;92.89924393;92.74%;10.28489567;3.677759236;49.45602843
86.43734615;96.15648761;77.70129655;76.68080963;82.13%;8.482133711;10.59330825;44.05804397
83.88463034;93.85097482;75.73491836;74.24034905;81.93%;6.677182909;10.3851854;42.70195505
49.07580524;77.76608725;55.88105954;102.9558527;96.46%;10.94523296;2.075482453;53.95052673
90.01869014;100.0909076;79.87978131;80.42852852;82.67%;7.962600836;10.69085872;46.0258662
67.46001891;80.65942053;75.38284132;97.28427086;88.81%;12.18434431;7.62878046;53.41634605
68.05807228;78.72708682;79.50040175;101.1394796;88.76%;12.89816954;8.216868687;55.65688635
72.9847267;91.18518332;71.60170615;95.54593381;89.92%;9.682361661;6.876484934;52.18451022
61.30032511;79.49994243;65.76059268;90.32435468;89.74%;12.23591081;6.014209069;49.14267695
61.63552903;86.93238425;60.6559328;95.29262258;92.72%;9.929293524;4.169471728;50.89645682
62.31510764;91.54972455;58.0224872;98.22200996;91.76%;12.23410838;3.153251067;51.98294351
70.04219136;81.49408507;70.142721;75.7260612;82.68%;10.0458262;8.810954386;42.81269741
54.69320009;86.07039631;49.6747944;88.26767644;94.26%;9.30754615;2.224702317;46.44391469
83.63726402;99.38278255;72.29645897;81.053041;85.59%;8.340517182;8.734937171;45.5120608
70.66583065;76.43077802;76.0291339;75.70932582;80.84%;8.99210265;10.29427439;43.43296456
58.77007014;69.5234496;75.17029419;98.06185188;88.94%;11.81881293;7.465485685;53.74450918
59.66021307;73.22375949;68.53775512;86.77109002;88.02%;9.097894224;7.125892944;47.77095946
36.74899363;62.43314171;49.32834827;87.93914615;96.37%;10.77090154;2.15937421;46.25554716
60.60100509;90.53800046;56.29538733;97.04074055;93.01%;8.964077007;2.870891304;51.23451148
73.18407273;89.2948969;73.44213442;94.46541119;85.42%;10.31599633;7.472773382;51.88741028
81.65249556;87.54641384;86.99038084;96.2038407;85.52%;8.449319794;10.65541495;54.13395095
55.18195802;83.61141781;52.2974196;86.77129665;90.76%;7.325955027;3.054537316;46.01718678
63.79232551;89.80379148;64.45233527;105.7552022;94.24%;11.81788495;3.893145854;56.17500835
70.77892084;93.68364709;67.53615567;99.19431743;91.16%;10.03444688;5.419028759;53.4405401
57.77827732;73.00443863;64.50701961;81.65384079;86.62%;6.662027564;6.705953447;44.94253802
49.15519823;78.00304793;51.24385653;90.53186693;95.05%;8.127102819;2.346823268;47.65467651
43.40877634;66.65353747;55.21566601;91.57073486;94.16%;12.44324159;3.23048151;48.59350797
54.98602119;83.47672399;53.57241257;90.41268083;91.32%;8.348358908;2.936562777;47.84716354
68.55862562;87.76278876;69.33139955;96.22587475;90.81%;9.279211424;6.217827575;52.25007771
39.68943922;63.9870665;54.50849557;95.89645597;95.38%;10.46682375;2.555019996;50.51918667
56.98867233;74.27668017;69.41509775;101.6336765;91.99%;8.279349991;5.617878631;54.77090337
39.82509584;65.86451294;49.51719846;86.8029157;94.58%;8.615356452;2.339591758;45.73500279
56.05387978;70.68382029;65.31960815;84.05499265;89.01%;9.531003296;6.629630323;46.16293108
50.78215081;70.10948218;63.56315661;97.01210792;91.33%;11.71128409;4.697723635;52.01836891
81.92750061;95.4304835;78.22014529;92.85437086;86.81%;9.999672553;8.83488288;51.63949159
41.40082965;67.3996332;53.52561925;96.26603074;95.03%;7.884827915;2.260043069;50.56774186
58.2783431;79.12707442;64.43348655;96.39622853;87.88%;8.679650894;4.970811457;51.80023184
62.67047911;88.94165156;60.59238253;97.04086831;93.15%;13.37300049;3.929144205;51.71396293
81.46003575;97.30432094;78.09081034;99.2043816;87.91%;11.92222708;8.069799548;54.59200398
94.47365298;105.0123371;84.26327787;89.68033397;83.93%;11.18262782;10.74013807;50.82851331
57.40786926;87.97736006;57.76162168;105.6678264;94.15%;11.99056798;2.225871844;55.41714158
60.41819494;91.71120863;53.046672;91.9525632;95.43%;10.43934898;2.631688567;48.52171527
82.82448835;95.81058446;79.97248611;95.26140131;86.84%;12.42003706;9.012276498;52.96888056
58.20489927;76.66733303;60.82391506;80.22185638;87.89%;7.175139505;5.954643279;43.88676886
83.07718319;101.2724644;75.39081455;96.60885537;84.49%;8.815889963;7.698557766;53.07850197
54.65241251;69.75548937;69.46577479;97.93447573;91.01%;11.57936317;6.051766097;53.0721681
57.67634319;74.83659731;65.03452173;88.57400335;89.70%;10.73327016;6.032332585;48.24049306
86.14762295;95.31010692;82.56722083;88.78741983;84.29%;7.483941909;10.40217372;50.20215519
68.45101688;80.60803115;69.39786594;77.16483084;85.61%;8.629235024;8.462500705;43.39567188
81.8931453;95.22488324;73.99671824;80.5508685;84.19%;7.832414209;9.207205746;45.4527739
62.49270167;87.56852975;65.3941011;106.8680895;93.93%;9.219495493;4.00132924;56.77872349
73.69449646;88.52412001;72.0477597;86.94456294;86.47%;8.102975754;7.985500953;48.22241654
72.52842772;85.43197624;69.51893513;75.74893108;82.98%;6.474865233;8.638966192;42.72957206
